what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318638049530
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1318638051754
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1318638054796
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318638055601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318638225576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318641980469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318641993585
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1318642058014
started,bundle,org.python.pydev.red_core,2.2.2.2011082312,"org.python.pydev.red_core",1318642058738
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1318642059073
opened,view,org.python.pydev,2.2.2.2011082312,"org.python.pydev.navigator.view",1318642061518
activated,perspective,org.python.pydev,2.2.2.2011082312,"org.python.pydev.ui.PythonPerspective",1318642061683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642061741
activated,view,org.python.pydev,2.2.2.2011082312,"org.python.pydev.navigator.view",1318642064085
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318642083182
activated,view,org.python.pydev,2.2.2.2011082312,"org.python.pydev.navigator.view",1318642089251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642100115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642130770
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318642130825
activated,view,org.python.pydev,2.2.2.2011082312,"org.python.pydev.navigator.view",1318642131962
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1318642140148
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1318642140188
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1318642140447
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1318642140456
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1318642140831
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642146357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642148456
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318642148528
activated,view,org.python.pydev,2.2.2.2011082312,"org.python.pydev.navigator.view",1318642149548
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642152994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1318642160846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642161924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642169787
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642176947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642188767
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642198397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642203096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642208563
started,bundle,org.python.pydev.jython,2.2.2.2011082312,"org.python.pydev.jython",1318642229066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642229862
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642292163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642302490
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1318642303971
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1318642304027
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1318642304187
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1318642304268
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1318642304345
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1318642304926
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1318642305158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642305839
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1318642305931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642326699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642400783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642404825
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642406777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642410898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642424991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642433916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642452125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642498656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642511228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642521797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642525732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642530695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642560207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1318642560253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642570102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642589790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642590560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642592458
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318642593414
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1318642596130
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1318642596131
